id,title,runtime,budget,revenue,vote_average,vote_count,genres,studios,profit,profit_margin
857,Saving Private Ryan,169,70.0,481.840909,4.05,50809,War,DreamWorks SKG,411.840909,0.8547238337540161
857,Saving Private Ryan,169,70.0,481.840909,4.05,50809,Drama,DreamWorks SKG,411.840909,0.8547238337540161
857,Saving Private Ryan,169,70.0,481.840909,4.05,50809,History,DreamWorks SKG,411.840909,0.8547238337540161
857,Saving Private Ryan,169,70.0,481.840909,4.05,50809,War,Paramount Pictures,411.840909,0.8547238337540161
857,Saving Private Ryan,169,70.0,481.840909,4.05,50809,Drama,Paramount Pictures,411.840909,0.8547238337540161
857,Saving Private Ryan,169,70.0,481.840909,4.05,50809,History,Paramount Pictures,411.840909,0.8547238337540161
859,Dangerous Liaisons,119,14.0,34.67072,3.86,8627,Romance,Warner Bros.,20.670720000000003,0.5962010595684197
859,Dangerous Liaisons,119,14.0,34.67072,3.86,8627,Drama,Warner Bros.,20.670720000000003,0.5962010595684197
862,Toy Story,81,30.0,373.554033,3.89,66008,Animation,Pixar Animation Studios,343.554033,0.919690332991265
862,Toy Story,81,30.0,373.554033,3.89,66008,Comedy,Pixar Animation Studios,343.554033,0.919690332991265
863,Toy Story 2,92,90.0,497.366869,3.81,28393,Animation,Pixar Animation Studios,407.366869,0.8190470543786864
863,Toy Story 2,92,90.0,497.366869,3.81,28393,Comedy,Pixar Animation Studios,407.366869,0.8190470543786864
867,Sliver,108,40.0,116.3,2.7199999999999998,5305,Drama,Paramount Pictures,76.3,0.6560619088564058
873,The Color Purple,154,15.0,146.292009,3.73,6594,Drama,Warner Bros.,131.292009,0.8974653495940438
891,All the President's Men,138,8.5,70.6,4.03,5276,Drama,Warner Bros.,62.099999999999994,0.8796033994334278
891,All the President's Men,138,8.5,70.6,4.03,5276,History,Warner Bros.,62.099999999999994,0.8796033994334278
902,The City of Lost Children,108,18.0,1.738611,3.92,9897,Science Fiction,Canal+,-16.261389,-9.353092209815768
903,Cool Hand Luke,126,3.0,16.217773,4.08,13037,Drama,Warner Bros.,13.217773000000001,0.8150177586034778
920,Cars,117,120.0,461.983149,3.37,7464,Animation,Pixar Animation Studios,341.983149,0.7402502661412007
920,Cars,117,120.0,461.983149,3.37,7464,Comedy,Pixar Animation Studios,341.983149,0.7402502661412007
920,Cars,117,120.0,461.983149,3.37,7464,Animation,Walt Disney Pictures,341.983149,0.7402502661412007
920,Cars,117,120.0,461.983149,3.37,7464,Comedy,Walt Disney Pictures,341.983149,0.7402502661412007
926,Galaxy Quest,102,45.0,90.683916,3.59,16216,Science Fiction,DreamWorks SKG,45.683915999999996,0.5037708781786617
926,Galaxy Quest,102,45.0,90.683916,3.59,16216,Comedy,DreamWorks SKG,45.683915999999996,0.5037708781786617
